step	train_loss
0	0.20904693007469177
1	0.35164883732795715
2	0.14451679587364197
3	0.03691297769546509
4	0.01764664053916931
5	0.013927912339568138
6	0.007421845104545355
7	0.01002973597496748
8	0.00827810913324356
9	0.009066255763173103
10	0.009963056072592735
11	0.008570395410060883
12	0.007175701670348644
13	0.006948751863092184
14	0.004475579597055912
15	0.0025752740912139416
16	0.0027978289872407913
17	0.0017630733782425523
18	0.0020171324722468853
19	0.0030641122721135616
20	0.002159650670364499
21	0.0017815099563449621
22	0.0023980680853128433
23	0.0019368340726941824
24	0.00100743118673563
25	0.0015787716256454587
26	0.0008189145009964705
27	0.0014142617583274841
28	0.001505206455476582
29	0.0011567047331482172
30	0.001124100643210113
31	0.0008142932201735675
32	0.0006401456776075065
33	0.0010900540510192513
34	0.0006014296668581665
35	0.0012679295614361763
36	0.0006522918120026588
37	0.0009556024451740086
38	0.0011072867782786489
39	0.00027524546021595597
40	0.00054033292690292
41	0.0009108101949095726
42	0.0002830260491464287
43	0.0005971298669464886
44	0.0005279576871544123
45	0.0017841531662270427
46	0.0006715280469506979
47	0.0006666448316536844
48	0.000622596824541688
49	0.0004932080046273768
50	0.0003134378930553794
51	0.00048276653978973627
52	0.0003328919119667262
53	0.001050680410116911
54	0.0007507657282985747
55	0.0002401454548817128
56	0.0009161927155219018
57	0.0003158940526191145
58	0.0003505697241052985
59	0.00031031007529236376
60	0.00044195775990374386
61	0.00032775194267742336
62	0.0006470810039900243
63	0.0011540845734998584
64	0.0003251453454140574
65	0.0002692811540327966
66	0.001107975491322577
67	0.0008382760570384562
68	0.00017689225205685943
69	0.0007889904081821442
70	0.0014480407116934657
71	0.00043201097287237644
72	0.0008941509295254946
73	0.0007853924762457609
74	0.0001400301553076133
75	0.0002936695236712694
76	0.00026769129908643663
77	0.0004874756559729576
78	0.0006417928379960358
79	0.0009760389220900834
80	0.0013184970011934638
81	0.00016523404337931424
82	0.0008842452662065625
83	0.00029605263262055814
84	0.00039705028757452965
85	0.0010338496649637818
86	0.00021010050841141492
87	0.00026896758936345577
88	0.001827026717364788
89	0.0001375044375890866
90	0.0001564438280183822
91	0.0005696387379430234
92	0.00044638814870268106
93	0.00034031138056889176
94	0.0013642485719174147
